Name, Rating, Price, Number of Reviews, Keywords, Phone Number, Address
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Bagels'; 'Coffee & Tea'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Delis'; 'Bagels'; 'Coffee & Tea'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Coffee & Tea'; 'Bagels'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Bagels'; 'Delis'; 'Coffee & Tea'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Delis'; 'Coffee & Tea'; 'Bagels'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Delis'; 'Coffee & Tea'; 'Bagels'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Bagels'; 'Coffee & Tea'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Bagels'; 'Coffee & Tea'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Bagels'; 'Delis'; 'Coffee & Tea'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Delis'; 'Bagels'; 'Coffee & Tea'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Coffee & Tea'; 'Delis'; 'Bagels'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Bagels'; 'Coffee & Tea'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Coffee & Tea'; 'Bagels'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Coffee & Tea'; 'Delis'; 'Bagels'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Coffee & Tea'; 'Delis'; 'Bagels'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Bagels'; 'Delis'; 'Coffee & Tea'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
Pho & Seafood House,4,$$,469,['Desserts'; 'Coffee & Tea'; 'Vietnamese'],(949) 328-9951,28083 Moulton Pkwy
Thrive Juice Lab,4.5,$$,235,['Juice Bars & Smoothies'; 'Organic Stores'; 'Coffee & Tea'],(949) 495-2200,30301 Golden Lantern St
Zait Bistro Laguna,4.5,$$,209,['Mediterranean'; 'Greek'; 'Middle Eastern'],(949) 215-5110,28241 Crown Valley Pkwy
Jizake Sushi,4,$$,375,['Sushi Bars'; 'Japanese'],(949) 363-9779,30001 Crown Valley Pkwy
Coffee Importers,4,$,380,['Bagels'; 'Coffee & Tea'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Nick’s Laguna Beach,4.5,$$,2979,['American (Traditional)'; 'Breakfast & Brunch'; 'Steakhouses'],(949) 376-8595,440 S Coast Hwy
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
Salt Creek Grille,4.5,$$,1869,['American (New)'; 'Seafood'; 'Steakhouses'],(949) 661-7799,32802 Pacific Coast Hwy
Gelato Paradiso,4.5,$,1117,['Ice Cream & Frozen Yogurt'; 'Desserts'; 'Gelato'],(949) 464-9255,448 S Coast Hwy
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
Ramos House Cafe,4.5,$$$,1153,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(949) 443-1342,31752 Los Rios St
Sambuca Italian Bistro,4.5,$$,384,['Italian'],(949) 429-7900,31161 Niguel Rd
Thousand Steps Beach,4.5,Beaches,676,['Beaches'],9th Ave & Pacific Coast Hwy,
Coffee Importers,4,$,380,['Coffee & Tea'; 'Bagels'; 'Delis'],(949) 493-7773,34531 Golden Lantern St
Rosetta Coffee Brewing Company - CLOSED,4.5,$,399,['Coffee & Tea'; 'Breakfast & Brunch'],30012 Crown Valley Pkwy,
Oh My Sushi,4.5,$$,288,['Japanese'; 'Sushi Bars'; 'Asian Fusion'],(949) 495-9100,28985 Golden Lantern
Plumeria Cafe by Stacks,4.5,$$,741,['Breakfast & Brunch'; 'Hawaiian'; 'Sandwiches'],(949) 900-6829,23811 Aliso Creek Rd
China Moon,4.5,$$,826,['Chinese'],(949) 249-6868,30001 Town Center Dr
Tastes of Greece,4,$$,466,['Greek'; 'Mediterranean'; 'Seafood'],(949) 495-2244,30012 Crown Valley Pkwy
I Love Bagels,4.5,$,200,['Bagels'; 'Bakeries'],(949) 249-9300,28985 Golden Lantern St
